DFHack 0.43.03-r1-0-g9889379 on Windows; cwd md5: 1cfabd3ddf; save: region1; SC_WORLD_UNLOADED; game type NONE (11)
DFHack 0.43.03-r1-0-g9889379 on Windows; cwd md5: 1cfabd3ddf; save: region1; SC_WORLD_LOADED; game type DWARF_MAIN (0)
DFHack 0.43.03-r1-0-g9889379 on Windows; cwd md5: 1cfabd3ddf; save: region1; SC_MAP_LOADED; game type DWARF_MAIN (0)
DFHack 0.43.03-r1-0-g9889379 on Windows; cwd md5: 1cfabd3ddf; save: region1; SC_WORLD_LOADED; game type DWARF_MAIN (0)
DFHack 0.43.03-r1-0-g9889379 on Windows; cwd md5: 1cfabd3ddf; save: region1; SC_MAP_LOADED; game type DWARF_MAIN (0)
DFHack 0.43.03-r1-0-g9889379 on Windows; cwd md5: 1cfabd3ddf; save: region1; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
DFHack 0.43.03-r1-0-g9889379 on Windows; cwd md5: 1cfabd3ddf; save: region1; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
DFHack 0.43.03-r1-0-g9889379 on Windows; cwd md5: 1cfabd3ddf; save: region1; SC_WORLD_LOADED; game type DWARF_MAIN (0)
DFHack 0.43.03-r1-0-g9889379 on Windows; cwd md5: 1cfabd3ddf; save: region1; SC_MAP_LOADED; game type DWARF_MAIN (0)
DFHack 0.43.03-r1-0-g9889379 on Windows; cwd md5: 1cfabd3ddf; save: region1; SC_WORLD_LOADED; game type DWARF_MAIN (0)
DFHack 0.43.03-r1-0-g9889379 on Windows; cwd md5: 1cfabd3ddf; save: region1; SC_MAP_LOADED; game type DWARF_MAIN (0)
DFHack 0.43.03-r1-0-g9889379 on Windows; cwd md5: 1cfabd3ddf; save: region1; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
DFHack 0.43.03-r1-0-g9889379 on Windows; cwd md5: 1cfabd3ddf; save: region1; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
DFHack 0.43.03-r1-0-g9889379 on Windows; cwd md5: 1cfabd3ddf; save: region1; SC_WORLD_LOADED; game type DWARF_MAIN (0)
DFHack 0.43.03-r1-0-g9889379 on Windows; cwd md5: 1cfabd3ddf; save: region1; SC_MAP_LOADED; game type DWARF_MAIN (0)
DFHack 0.43.03-r1-0-g9889379 on Windows; cwd md5: 1cfabd3ddf; save: region1; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
DFHack 0.43.03-r1-0-g9889379 on Windows; cwd md5: 1cfabd3ddf; save: region1; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
DFHack 0.43.03-r1-0-g9889379 on Windows; cwd md5: 1cfabd3ddf; save: regionSillonball; SC_WORLD_LOADED; game type DWARF_MAIN (0)
DFHack 0.43.03-r1-0-g9889379 on Windows; cwd md5: 1cfabd3ddf; save: regionSillonball; SC_MAP_LOADED; game type DWARF_MAIN (0)
